"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TRINITY_DN298805_c0_g4"	20.8454986353356	8.36257880055571	214.195502913986	3.69057316318557e-12	1.52297652534125e-10
"TRINITY_DN293455_c0_g1"	20.0228159007345	8.342654480761	167.979027019934	4.58786624029795e-12	1.86834815970028e-10
"TRINITY_DN311753_c2_g3"	19.924853200714	7.54027078263658	166.016255396436	5.17071179499917e-12	2.07835753318473e-10
"TRINITY_DN254309_c0_g1"	24.4763234462992	8.2152659615535	275.516426563172	5.95611498770717e-12	2.36335588294278e-10
"TRINITY_DN277043_c0_g1"	19.1542953228374	8.45151376495427	162.686023025968	6.35228718265759e-12	2.48864921902851e-10
"TRINITY_DN276631_c0_g2"	21.8887860095962	7.6593413522328	197.880673171002	7.62997988541918e-12	2.95184846817154e-10
"TRINITY_DN277393_c0_g1"	23.9727415901808	8.35890857345442	256.549096057431	1.05610068387191e-11	4.03534767479451e-10
"TRINITY_DN299040_c0_g1"	21.0316382777587	13.1855857402865	153.860440968408	1.11643512457192e-11	4.21386184213426e-10
"TRINITY_DN226686_c0_g1"	19.096578977277	7.87506781209436	152.14946035482	1.24949051634347e-11	4.65924475672657e-10
"TRINITY_DN295213_c0_g1"	23.8335657274341	7.95656764354067	234.960952933434	2.13208778431671e-11	7.85572820530978e-10
"TRINITY_DN223644_c0_g1"	20.6924368189445	7.45346723942539	170.78880349714	2.90296845909061e-11	1.05702204481005e-09
"TRINITY_DN311418_c0_g2"	23.5063441439112	7.72626011474691	223.53280372765	3.17044524033491e-11	1.14099163009727e-09
"TRINITY_DN316260_c0_g1"	21.2553209743742	7.60055629328642	164.494578828692	4.06936008732731e-11	1.44766315750322e-09
"TRINITY_DN298843_c0_g1"	21.3996836154872	7.38253974543802	162.575646488894	4.52114546504829e-11	1.59010741071869e-09
"TRINITY_DN311987_c0_g6"	21.189580668832	7.31138618772064	161.598904321492	4.77207532073843e-11	1.65950259749275e-09
"TRINITY_DN274795_c0_g2"	17.9112368652954	13.709153805063	125.895171976953	8.20559949520872e-11	2.82181449307455e-09
"TRINITY_DN311742_c0_g1"	18.1635415619311	7.36308066356959	124.90464385355	8.86599145821003e-11	3.01541138056704e-09
"TRINITY_DN274001_c0_g1"	21.3082863946522	7.8197416677977	142.466249277202	1.46473867786034e-10	4.92757196519322e-09
