"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TRINITY_DN277328_c0_g1"	20.3251044707616	12.024939550277	108.61430536031	1.06409314259837e-11	8.01825479805005e-10
"TRINITY_DN311461_c0_g1"	19.6583034307113	13.9609834877504	99.1126567147126	1.19362746445621e-11	8.49464878871333e-10
"TRINITY_DN292353_c0_g1"	17.6133828763452	12.2564481709947	92.7775061567693	2.77082791868771e-11	1.86812134938893e-09
"TRINITY_DN278906_c0_g1"	18.5384922112303	11.8118526474994	97.6931289513097	3.83803095138428e-11	2.37634886817578e-09
"TRINITY_DN295224_c1_g1"	17.6304601338006	12.0369884447227	89.9941463249474	4.06611348098409e-11	2.37634886817578e-09
"TRINITY_DN292324_c0_g1"	18.1345697286972	14.0320602242634	89.9676421056383	4.08116120998182e-11	2.37634886817578e-09
"TRINITY_DN277371_c0_g1"	18.4682603726641	14.3929249319147	88.412244349857	5.07623941439111e-11	2.82724464775435e-09
"TRINITY_DN311716_c0_g2"	20.7765982582925	11.4719400345397	102.566070161798	6.50834483286679e-11	3.47382905454265e-09
"TRINITY_DN251134_c0_g1"	18.8565665784392	13.8306835019358	86.2060014553122	6.95123782049759e-11	3.56181425922296e-09
"TRINITY_DN274712_c0_g1"	19.4891700810418	14.4454372909737	85.8511581315529	7.31570156363154e-11	3.60438988577385e-09
"TRINITY_DN312701_c0_g3"	17.8112099085943	12.2312040748409	84.2138572008936	9.27963366707501e-11	4.40267063982337e-09
"TRINITY_DN311716_c0_g1"	18.0405475417169	11.371832878343	87.8464842864364	1.34581850773784e-10	6.15711967290064e-09
"TRINITY_DN274840_c0_g1"	18.0570807686932	13.085412441039	77.7011807587146	2.47279905973785e-10	1.09229503293938e-08
"TRINITY_DN299789_c0_g2"	18.6696226760038	12.7308767629838	82.3611077376749	2.83588760037318e-10	1.21092400535935e-08
"TRINITY_DN314271_c0_g1"	18.3155271777283	11.070722488705	81.1613192929989	3.35430358632166e-10	1.36175629350207e-08
"TRINITY_DN294657_c0_g1"	18.0413999123767	11.3762145241638	81.0615633615432	3.40173312974756e-10	1.36175629350207e-08
"TRINITY_DN294773_c0_g3"	19.9622305356014	11.0598163474776	85.2910158705104	4.91629113348463e-10	1.90841483090722e-08
"TRINITY_DN294754_c0_g1"	16.6295983456994	14.7936486746971	70.348249748251	8.03746336842148e-10	3.02823252204351e-08
