geneID,kME
TRINITY_DN259522_c0_g1,0
TRINITY_DN298863_c0_g2,0
TRINITY_DN298417_c1_g1,0
TRINITY_DN233686_c0_g1,0
TRINITY_DN314167_c0_g1,0
TRINITY_DN294772_c2_g5,0
TRINITY_DN312065_c5_g2,0
TRINITY_DN278380_c0_g1,0
TRINITY_DN316237_c1_g2,0
TRINITY_DN312717_c0_g3,0
TRINITY_DN274796_c0_g1,0
TRINITY_DN293455_c0_g2,0
TRINITY_DN314885_c1_g6,0
TRINITY_DN299252_c4_g2,0
TRINITY_DN25194_c0_g1,0
TRINITY_DN314109_c2_g3,0
TRINITY_DN293493_c3_g6,0
TRINITY_DN298165_c0_g2,0
TRINITY_DN310763_c4_g2,0
TRINITY_DN294779_c1_g7,0
TRINITY_DN255905_c0_g1,0
TRINITY_DN294655_c2_g1,0
TRINITY_DN314170_c2_g1,0
TRINITY_DN252261_c0_g1,0
TRINITY_DN311465_c2_g1,0
TRINITY_DN296379_c5_g1,0
TRINITY_DN299291_c1_g2,0
TRINITY_DN314179_c1_g1,0
TRINITY_DN296770_c4_g1,0
TRINITY_DN299782_c1_g3,0
TRINITY_DN314157_c1_g3,0
TRINITY_DN296788_c3_g1,0
TRINITY_DN276539_c0_g1,0
TRINITY_DN276582_c0_g1,0
TRINITY_DN292335_c2_g2,0
TRINITY_DN10633_c0_g1,0
TRINITY_DN294185_c1_g1,0
TRINITY_DN616047_c0_g1,0
TRINITY_DN226613_c0_g1,0
TRINITY_DN314645_c3_g2,0
TRINITY_DN223898_c0_g1,0
TRINITY_DN251132_c0_g1,0
TRINITY_DN294662_c0_g1,0
TRINITY_DN298604_c8_g3,0
TRINITY_DN295225_c0_g1,0
TRINITY_DN680_c0_g1,0
TRINITY_DN255991_c0_g1,0
TRINITY_DN256642_c1_g1,0
TRINITY_DN22778_c0_g1,0
TRINITY_DN257903_c0_g1,0
TRINITY_DN312752_c2_g1,0
TRINITY_DN544815_c0_g1,0
TRINITY_DN649561_c0_g1,0
TRINITY_DN234167_c0_g1,0
TRINITY_DN293826_c5_g4,0
TRINITY_DN311475_c2_g4,0
TRINITY_DN312094_c0_g6,0
TRINITY_DN312705_c0_g3,0
TRINITY_DN278348_c0_g2,0
TRINITY_DN294778_c1_g1,0
TRINITY_DN299654_c1_g9,0
TRINITY_DN314177_c0_g1,0
TRINITY_DN298612_c2_g2,0
TRINITY_DN544012_c0_g1,0
TRINITY_DN311794_c1_g1,0
TRINITY_DN256462_c0_g1,0
TRINITY_DN310080_c0_g3,0
TRINITY_DN111543_c0_g1,0
TRINITY_DN111591_c0_g1,0
TRINITY_DN104274_c0_g1,0
TRINITY_DN292371_c3_g1,0
TRINITY_DN310082_c1_g1,0
TRINITY_DN338231_c0_g1,0
TRINITY_DN299656_c3_g3,0
TRINITY_DN298179_c0_g2,0
TRINITY_DN312722_c2_g1,0
TRINITY_DN228043_c0_g1,0
TRINITY_DN316223_c5_g1,0
TRINITY_DN340660_c0_g1,0
TRINITY_DN256325_c0_g1,0
TRINITY_DN316993_c2_g1,0
TRINITY_DN10562_c0_g1,0
TRINITY_DN296776_c0_g1,0
TRINITY_DN22035_c0_g1,0
TRINITY_DN294674_c7_g1,0
TRINITY_DN276081_c0_g1,0
TRINITY_DN311758_c0_g4,0
TRINITY_DN256592_c0_g1,0
TRINITY_DN294781_c2_g1,0
TRINITY_DN276935_c0_g2,0
TRINITY_DN293493_c3_g4,0
TRINITY_DN310742_c1_g4,0
TRINITY_DN223890_c0_g1,0
TRINITY_DN298862_c0_g2,0
TRINITY_DN310742_c1_g5,0
TRINITY_DN104879_c0_g1,0
TRINITY_DN314863_c3_g3,0
TRINITY_DN256462_c0_g2,0
TRINITY_DN311476_c1_g6,0
TRINITY_DN294787_c0_g3,0
TRINITY_DN670317_c0_g1,0
TRINITY_DN299270_c6_g1,0
TRINITY_DN317296_c6_g2,0
TRINITY_DN311794_c0_g3,0
TRINITY_DN484519_c0_g1,0
TRINITY_DN594669_c0_g1,0
TRINITY_DN314152_c5_g3,0
TRINITY_DN544161_c0_g1,0
TRINITY_DN25598_c0_g1,0
TRINITY_DN299276_c0_g5,0
TRINITY_DN271641_c0_g3,0
TRINITY_DN312754_c6_g1,0
TRINITY_DN670556_c0_g1,0
TRINITY_DN312745_c1_g2,0
TRINITY_DN294612_c6_g1,0
TRINITY_DN299262_c2_g1,0
TRINITY_DN276081_c0_g2,0
TRINITY_DN294748_c2_g1,0
TRINITY_DN311798_c0_g1,0
TRINITY_DN311798_c0_g2,0
TRINITY_DN298612_c2_g4,0
TRINITY_DN317261_c4_g1,0
TRINITY_DN276265_c2_g1,0
TRINITY_DN254308_c0_g1,0
TRINITY_DN293685_c2_g1,0
TRINITY_DN311791_c1_g2,0
TRINITY_DN299750_c3_g1,0
TRINITY_DN314626_c2_g4,0
TRINITY_DN274735_c0_g1,0
TRINITY_DN276983_c0_g1,0
TRINITY_DN311792_c1_g1,0
TRINITY_DN299270_c7_g1,0
TRINITY_DN294655_c4_g2,0
TRINITY_DN271251_c0_g1,0
TRINITY_DN294187_c0_g1,0
TRINITY_DN298862_c0_g3,0
TRINITY_DN276586_c0_g1,0
TRINITY_DN299750_c2_g1,0
