gene,signLogP
TRINITY_DN25194_c0_g1,-4.91779196363689
TRINITY_DN252333_c0_g1,-5.39374173533767
TRINITY_DN252362_c0_g1,-6.65418594268104
TRINITY_DN254083_c0_g1,-4.89515092595894
TRINITY_DN255899_c0_g1,-6.85571983740224
TRINITY_DN256514_c0_g2,-6.79781055646986
TRINITY_DN259162_c0_g1,-5.41791954743541
TRINITY_DN259522_c1_g1,-6.20990216026132
TRINITY_DN271057_c0_g1,-4.75434851089987
TRINITY_DN271251_c0_g1,-13.2217087191996
TRINITY_DN271275_c0_g1,-8.59047406890254
TRINITY_DN271662_c0_g1,-6.35603104032209
TRINITY_DN271688_c0_g1,-5.37797193788734
TRINITY_DN274005_c0_g1,-4.82121743208875
TRINITY_DN274570_c1_g1,-10.4833638749577
TRINITY_DN274731_c0_g1,-6.56958946126615
TRINITY_DN274735_c0_g1,-15.595343929738
TRINITY_DN274800_c0_g1,-9.46260496469012
TRINITY_DN274808_c0_g1,-5.57652014152512
TRINITY_DN274865_c0_g1,-10.3938965437632
TRINITY_DN276015_c0_g1,-10.5689969790622
TRINITY_DN276293_c0_g1,-8.00174484365948
TRINITY_DN276293_c0_g2,-5.95319202560444
TRINITY_DN276445_c0_g1,-9.09158162754932
TRINITY_DN276572_c0_g1,-4.86534860559553
TRINITY_DN276586_c0_g1,-12.9477169695185
TRINITY_DN276843_c0_g1,-6.09267822338528
TRINITY_DN276983_c0_g1,-15.8886186476136
TRINITY_DN277000_c0_g1,-8.80893062751474
TRINITY_DN277003_c0_g1,-7.1365316141189
TRINITY_DN277047_c0_g1,-8.00165780553713
TRINITY_DN277053_c0_g1,-16.2486775886982
TRINITY_DN277292_c0_g1,-10.7583037523243
TRINITY_DN277395_c0_g1,-6.49276792160809
TRINITY_DN277933_c0_g1,-9.82257603612947
TRINITY_DN278343_c0_g1,-11.2537144800173
TRINITY_DN278387_c0_g1,-12.715214481338
TRINITY_DN278824_c0_g1,-12.8393379198844
TRINITY_DN278966_c0_g1,-4.88725512934422
TRINITY_DN278966_c0_g2,-4.82609061806176
TRINITY_DN292378_c0_g2,-20.9957999553813
TRINITY_DN292382_c1_g2,-12.0377637900512
TRINITY_DN292383_c0_g1,-11.6118759647408
TRINITY_DN292396_c0_g1,-13.1036496742437
TRINITY_DN292396_c0_g2,-7.12614930081174
TRINITY_DN292396_c0_g3,-6.29945975211746
TRINITY_DN292396_c0_g4,-5.9081366101307
TRINITY_DN292909_c0_g1,-15.370829985349
TRINITY_DN292950_c0_g1,-16.6627128163785
TRINITY_DN292951_c0_g1,-4.76816108146677
TRINITY_DN292961_c0_g1,-11.3820327054759
TRINITY_DN292973_c0_g1,-7.08207276756397
