gene,logP
TRINITY_DN22073_c0_g1,-5.91269136553304
TRINITY_DN54630_c0_g1,-5.82103151723588
TRINITY_DN310763_c1_g1,-5.81326680310857
TRINITY_DN259150_c0_g1,-5.77410376298353
TRINITY_DN54639_c0_g1,-5.68332791417974
TRINITY_DN277209_c0_g1,-5.60134629637953
TRINITY_DN256574_c0_g1,-5.51776905036599
TRINITY_DN227313_c0_g1,-5.48261849364075
TRINITY_DN274697_c0_g1,-5.42725262228359
TRINITY_DN295274_c0_g1,-5.38916655367976
TRINITY_DN659232_c0_g1,-5.3756724902019
TRINITY_DN311742_c0_g3,-5.37123634239411
TRINITY_DN317251_c1_g2,-5.32737648098336
TRINITY_DN256641_c0_g1,-5.30245334143707
TRINITY_DN316994_c3_g1,-5.23725698475447
TRINITY_DN172942_c0_g1,-5.22157251687176
TRINITY_DN271552_c0_g1,-5.21878346010442
TRINITY_DN220175_c0_g1,-5.15623854125736
TRINITY_DN238438_c0_g1,-5.14639558285485
TRINITY_DN256523_c0_g1,-5.13346035651784
TRINITY_DN254145_c0_g1,-5.11716411969294
TRINITY_DN278310_c0_g1,-5.11156260563199
TRINITY_DN371385_c0_g1,-5.03228863021701
TRINITY_DN23841_c0_g1,-5.00035453455959
TRINITY_DN226665_c1_g1,-4.9781285748259
TRINITY_DN299725_c0_g1,-4.96693771504631
TRINITY_DN314108_c3_g4,-4.96578234642001
TRINITY_DN336_c0_g1,-4.96373877281078
TRINITY_DN4872_c0_g1,-4.91449233727919
TRINITY_DN231568_c0_g1,-4.90125330877298
TRINITY_DN220145_c0_g1,-4.89880832131086
TRINITY_DN276269_c0_g1,-4.87046573433799
TRINITY_DN238637_c0_g1,-4.86113917411111
TRINITY_DN299201_c0_g1,-4.85985118866885
TRINITY_DN316970_c3_g1,-4.85424811894686
TRINITY_DN172934_c0_g1,-4.84959048171792
TRINITY_DN67038_c0_g1,-4.83428921282201
TRINITY_DN314629_c1_g1,-4.76772780591313
TRINITY_DN150505_c0_g1,-4.68792829359627
TRINITY_DN274885_c0_g1,-4.67076618691413
TRINITY_DN102516_c0_g1,-4.64940325346592
TRINITY_DN227530_c0_g1,-4.64169511962172
TRINITY_DN38070_c0_g1,-4.63390815953645
TRINITY_DN277229_c0_g2,-4.62330771004173
TRINITY_DN254151_c0_g1,-4.62257454820363
TRINITY_DN317247_c1_g2,-4.60828418861049
TRINITY_DN35980_c0_g1,-4.59991559125049
TRINITY_DN278313_c0_g1,-4.57878495940524
TRINITY_DN2713_c0_g1,-4.57058985611518
TRINITY_DN317294_c9_g1,-4.54327831543138
TRINITY_DN220307_c0_g1,-4.52162109809989
TRINITY_DN276865_c0_g1,-4.46787377295452
TRINITY_DN316268_c0_g3,-4.46383905065832
TRINITY_DN294614_c0_g1,-4.46114458744508
TRINITY_DN375730_c0_g1,-4.40777324906452
TRINITY_DN278921_c1_g2,-4.31369327327236
TRINITY_DN2517_c0_g1,-4.30786094201321
TRINITY_DN150655_c0_g1,-4.27391400623472
