"","GeneID","Number"
"113","TRINITY_DN276607_c0_g1",113
"114","TRINITY_DN276631_c0_g2",114
"115","TRINITY_DN276843_c0_g1",115
"116","TRINITY_DN276910_c0_g1",116
"117","TRINITY_DN276910_c0_g2",117
"118","TRINITY_DN276935_c0_g1",118
"119","TRINITY_DN276943_c0_g1",119
"120","TRINITY_DN276974_c0_g1",120
"121","TRINITY_DN276983_c0_g1",121
"122","TRINITY_DN276992_c0_g1",122
"123","TRINITY_DN277000_c0_g1",123
"124","TRINITY_DN277003_c0_g1",124
"125","TRINITY_DN277043_c0_g1",125
"126","TRINITY_DN277043_c0_g2",126
"127","TRINITY_DN277047_c0_g1",127
"128","TRINITY_DN277053_c0_g1",128
"129","TRINITY_DN277209_c0_g1",129
"130","TRINITY_DN277215_c0_g1",130
"131","TRINITY_DN277252_c0_g1",131
"132","TRINITY_DN277292_c0_g1",132
"133","TRINITY_DN277371_c0_g1",133
"134","TRINITY_DN277373_c0_g1",134
"135","TRINITY_DN277393_c0_g1",135
"136","TRINITY_DN277394_c0_g1",136
"137","TRINITY_DN277395_c0_g1",137
"138","TRINITY_DN277915_c0_g1",138
"139","TRINITY_DN277933_c0_g1",139
"140","TRINITY_DN278325_c0_g1",140
"141","TRINITY_DN278343_c0_g1",141
"142","TRINITY_DN278380_c0_g1",142
"143","TRINITY_DN278387_c0_g1",143
"144","TRINITY_DN278824_c0_g1",144
"145","TRINITY_DN278923_c1_g1",145
"146","TRINITY_DN278928_c0_g1",146
"147","TRINITY_DN278965_c0_g1",147
"148","TRINITY_DN278966_c0_g1",148
"149","TRINITY_DN278966_c0_g2",149
"150","TRINITY_DN292320_c0_g2",150
"151","TRINITY_DN292320_c0_g4",151
"152","TRINITY_DN292331_c0_g1",152
"153","TRINITY_DN292335_c2_g3",153
"154","TRINITY_DN292371_c5_g1",154
"155","TRINITY_DN292378_c0_g2",155
"156","TRINITY_DN292382_c1_g2",156
"157","TRINITY_DN292383_c0_g1",157
"158","TRINITY_DN292384_c0_g1",158
"159","TRINITY_DN292387_c4_g1",159
"160","TRINITY_DN292396_c0_g1",160
"161","TRINITY_DN292396_c0_g2",161
"162","TRINITY_DN292396_c0_g3",162
"163","TRINITY_DN292396_c0_g4",163
"164","TRINITY_DN292660_c0_g1",164
"165","TRINITY_DN292909_c0_g1",165
"166","TRINITY_DN292914_c1_g1",166
"167","TRINITY_DN292950_c0_g1",167
"168","TRINITY_DN292951_c0_g1",168
"169","TRINITY_DN292961_c0_g1",169
"170","TRINITY_DN292970_c0_g1",170
"171","TRINITY_DN292970_c0_g2",171
"172","TRINITY_DN292973_c0_g1",172
"173","TRINITY_DN292973_c0_g2",173
"174","TRINITY_DN292975_c0_g1",174
"175","TRINITY_DN292978_c1_g13",175
"176","TRINITY_DN292979_c1_g2",176
"177","TRINITY_DN292979_c1_g6",177
"178","TRINITY_DN292998_c2_g1",178
"179","TRINITY_DN292998_c5_g6",179
"180","TRINITY_DN292999_c3_g1",180
"181","TRINITY_DN293332_c0_g1",181
"182","TRINITY_DN293332_c0_g2",182
"183","TRINITY_DN293340_c0_g2",183
"184","TRINITY_DN293346_c7_g1",184
"185","TRINITY_DN293348_c0_g2",185
"186","TRINITY_DN293349_c0_g1",186
"187","TRINITY_DN293350_c0_g1",187
