GeneID	S_10B	S_9A	S_13A	S_42A	S_46B	S_47B	S_48B	S_2A	S_2B	S_7B	S_8B	S_33A	S_36B	S_38A	S_40A
TRINITY_DN276991_c0_g1	10.47207866	9.515107164	10.20526869	9.038674052	8.611336303	9.276767534	10.06747391	10.54265613	10.3342043	10.09576806	9.735619975	9.931761093	10.01356828	9.904301114	10.02225453
TRINITY_DN276992_c0_g1	8.167531637	6.973394539	7.401338608	7.940274259	8.057405019	9.077955386	7.665378561	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.555100532	1.060434796
TRINITY_DN276996_c1_g1	3.45407728	3.454865611	5.661716488	6.210880266	5.734481377	5.253486165	5.018508379	4.100161726	1.531363875	3.158481203	4.015773434	2.250773536	3.724725735	1.060434796	2.743762709
TRINITY_DN276999_c0_g1	1.060434796	1.060434796	2.009723777	3.037763466	1.655951822	1.060434796	1.060434796	1.74026046	1.060434796	1.469830349	1.060434796	1.060434796	1.526532857	1.922777888	1.060434796
TRINITY_DN276999_c0_g2	1.060434796	1.498523235	2.577378605	3.037763466	2.401305792	2.220749492	2.554960019	1.74026046	1.060434796	1.788362656	2.035083556	1.775037812	1.526532857	1.060434796	1.060434796
TRINITY_DN277000_c0_g1	5.710663422	5.174899209	5.133025419	5.098043112	2.89031276	3.903475717	5.100500432	8.262783142	7.979852879	7.418829738	7.986972009	8.596620606	5.63829261	7.28979125	6.505857915
TRINITY_DN277003_c0_g1	9.04196647	8.06067455	9.604890486	7.913029081	6.936818685	8.195497392	8.574331381	10.10894546	9.930990992	9.9526642	9.371380905	9.982212831	9.378124137	9.796342887	9.948406225
TRINITY_DN277008_c0_g1	1.060434796	2.334983987	2.577378605	2.739959837	2.401305792	3.29468633	2.554960019	3.265726262	1.531363875	2.269898769	2.035083556	1.060434796	1.878251772	2.215525202	1.695418181
TRINITY_DN277009_c0_g1	4.076819427	3.000963993	2.983683776	3.678874998	2.401305792	5.15262556	4.51952897	4.470659013	4.840540946	4.913761748	5.259944496	4.914596403	4.697471159	5.244537242	5.367810525
TRINITY_DN277041_c0_g1	1.833703142	1.060434796	1.060434796	1.854878329	1.060434796	1.060434796	2.554960019	4.696998763	1.531363875	4.155848322	2.351887504	1.060434796	3.327576048	2.215525202	1.060434796
